,adr,ame_d,count_accidents
492,RUE DROUOT,AUCUN,3
493,RUE DROUOT,MOINS SECURISEE,1
494,RUE DU BAC,AUCUN,1
495,RUE DU CHATEAU D EAU,VOIE SECURISEE,1
496,RUE DU CHEMIN VERT,AUCUN,4
497,RUE DU CHERCHE MIDI,MOINS SECURISEE,2
498,RUE DU CHEVALERET,AUCUN,1
499,RUE DU CLOITRE SAINT MERRI,AUCUN,1
500,RUE DU COMMERCE,AUCUN,2
501,RUE DU CONSERVATOIRE,AUCUN,1
502,RUE DU FAUBOURG DU TEMPLE,AUCUN,1
503,RUE DU FAUBOURG DU TEMPLE,VOIE SECURISEE,1
504,RUE DU FAUBOURG POISSONNIERE,VOIE SECURISEE,1
505,RUE DU FAUBOURG SAINT ANTOINE,AUCUN,3
506,RUE DU FAUBOURG SAINT DENIS,AUCUN,3
507,RUE DU FAUBOURG SAINT DENIS,VOIE SECURISEE,1
508,RUE DU FAUBOURG SAINT HONORE,AUCUN,1
509,RUE DU FAUBOURG SAINT JACQUES,VOIE SECURISEE,1
510,RUE DU FAUBOURG SAINT MARTIN,AUCUN,4
511,RUE DU FAUBOURG SAINT MARTIN,MOINS SECURISEE,6
512,RUE DU FAUBOURG SAINT MARTIN,VOIE SECURISEE,1
513,RUE DU FER A MOULIN,AUCUN,1
514,RUE DU FOUR,MOINS SECURISEE,1
515,RUE DU HAVRE,AUCUN,1
516,RUE DU HAVRE,VOIE SECURISEE,1
517,RUE DU LOUVRE,MOINS SECURISEE,1
518,RUE DU MONT CENIS,AUCUN,1
519,RUE DU PAS DE LA MULE,AUCUN,1
520,RUE DU PETIT PONT,MOINS SECURISEE,1
521,RUE DU PONT LOUIS PHILIPPE,AUCUN,2
522,RUE DU RANELAGH,MOINS SECURISEE,1
523,RUE DU RENARD,AUCUN,1
524,RUE DU RENARD,MOINS SECURISEE,2
525,RUE DU TEMPLE,AUCUN,1
526,RUE DU TEMPLE,VOIE SECURISEE,1
527,RUE DUPETIT THOUARS,AUCUN,2
528,RUE DURANTI,AUCUN,1
529,RUE DUTOT,AUCUN,1
530,RUE DUVIVIER,AUCUN,1
531,RUE EMILE DEUTSCH DE LA MEURTHE,VOIE SECURISEE,1
532,RUE EMILE FAGUET,VOIE SECURISEE,1
533,RUE ETIENNE DOLET,AUCUN,1
534,RUE ETIENNE MARCEL,AUCUN,2
535,RUE ETIENNE MARCEL,MOINS SECURISEE,1
536,RUE EUGENE CARRIERE,AUCUN,1
537,RUE EUGENE VARLIN,AUCUN,1
538,RUE FABRE D EGLANTINE,MOINS SECURISEE,1
539,RUE FAIDHERBE,AUCUN,1
540,RUE FESSART,AUCUN,1
541,RUE FONDARY,AUCUN,1
542,RUE FRANCOIS MIRON,AUCUN,1
543,RUE FROIDEVAUX,AUCUN,2
544,RUE FROIDEVAUX,VOIE SECURISEE,1
545,RUE FROMENT,AUCUN,1
546,RUE GAY LUSSAC,AUCUN,1
547,RUE GERMAIN PILON,VOIE SECURISEE,1
548,RUE JEAN DE LA FONTAINE,MOINS SECURISEE,1
549,RUE JEAN MERMOZ,MOINS SECURISEE,1
550,RUE JOSEPH DE MAISTRE,AUCUN,1
551,RUE JOUFFROY D ABBANS,AUCUN,1
552,RUE JULES GUESDE,AUCUN,1
553,RUE JUSSIEU,AUCUN,3
554,RUE LA BRUYERE,AUCUN,1
555,RUE LA FAYETTE,AUCUN,5
556,RUE LA FAYETTE,MOINS SECURISEE,5
557,RUE LA FAYETTE,VOIE SECURISEE,1
558,RUE LACAZE,AUCUN,1
559,RUE LAGILLE,AUCUN,1
560,RUE LECOURBE,MOINS SECURISEE,2
561,RUE LEGENDRE,AUCUN,1
562,RUE LINOIS,VOIE SECURISEE,3
563,RUE LOUIS BLANC,VOIE SECURISEE,1
564,RUE LUCIEN SAMPAIX,AUCUN,1
565,RUE MADAME,AUCUN,1
566,RUE MANIN,VOIE SECURISEE,2
567,RUE MARBEUF,AUCUN,1
568,RUE MARCADET,AUCUN,1
569,RUE MARMONTEL,AUCUN,1
570,RUE MARX DORMOY,VOIE SECURISEE,1
571,RUE MAUBLANC,MOINS SECURISEE,1
572,RUE MAYRAN,AUCUN,1
573,RUE MICHEL LE COMTE,AUCUN,1
574,RUE MONCEY,AUCUN,1
575,RUE MONTGALLET,AUCUN,1
576,RUE NATIONALE,VOIE SECURISEE,1
577,RUE NICOLO,AUCUN,1
578,RUE NOLLET,AUCUN,1
579,RUE OBERKAMPF,AUCUN,1
580,RUE OBERKAMPF,MOINS SECURISEE,2
581,RUE OBERKAMPF,VOIE SECURISEE,1
582,RUE ORDENER,MOINS SECURISEE,3
583,RUE PERNETY,AUCUN,1
584,RUE PHILIPPE DE CHAMPAGNE,AUCUN,1
585,RUE POLIVEAU,AUCUN,1
586,RUE RAFFET,MOINS SECURISEE,1
587,RUE RAMBUTEAU,VOIE SECURISEE,1
588,RUE RAYMOND LOSSERAND,VOIE SECURISEE,1
589,RUE REAUMUR,AUCUN,2
590,RUE RENE BOULANGER,AUCUN,1
591,RUE RICHARD LENOIR,AUCUN,1
592,RUE RIQUET,VOIE SECURISEE,2
593,RUE ROY,MOINS SECURISEE,1
594,RUE SAINT ANTOINE,AUCUN,6
595,RUE SAINT ANTOINE,VOIE SECURISEE,5
596,RUE SAINT CHARLES,AUCUN,2
597,RUE SAINT DENIS,AUCUN,1
598,RUE SAINT DOMINIQUE,AUCUN,2
599,RUE SAINT DOMINIQUE,VOIE SECURISEE,1
600,RUE SAINT GEORGES,AUCUN,2
601,RUE SAINT HONORE,MOINS SECURISEE,1
602,RUE SAINT JACQUES,VOIE SECURISEE,2
603,RUE SAINT LAZARE,MOINS SECURISEE,1
604,RUE SAINT MARC,AUCUN,1
605,RUE SAINT MARTIN,MOINS SECURISEE,1
606,RUE SAINT MAUR,AUCUN,3
607,RUE SEDAINE,AUCUN,1
608,RUE SERVAN,AUCUN,1
609,RUE SIMART,AUCUN,1
610,RUE SOUFFLOT,AUCUN,1
611,RUE SOUFFLOT,VOIE SECURISEE,1
612,RUE TRAVERSIERE,VOIE SECURISEE,1
613,RUE VERCINGETORIX,AUCUN,1
614,RUE VERCINGETORIX,VOIE SECURISEE,2
615,RUE VIEILLE DU TEMPLE,AUCUN,1
616,RUE VIOLET,AUCUN,1
617,RUE VIVIENNE,AUCUN,1
618,Rue Barbès,VOIE SECURISEE,1
619,Rue Hoche,AUCUN,1
620,Rue Lénine,MOINS SECURISEE,1
621,Rue Marat,MOINS SECURISEE,1
622,Rue Paul Andrieux,VOIE SECURISEE,1
623,Rue Raspail,AUCUN,1
624,Rue Robespierre,MOINS SECURISEE,1
625,Rue Westermeyer,VOIE SECURISEE,1
626,SADI CARNOT (RUE),AUCUN,1
627,TOUR (RUE DE LA),AUCUN,1
628,VALLEE (RUE DE LA),AUCUN,1
629,VANVES BOULEVARD DE N° PAIRS,AUCUN,1
630,VERDUN (AV DE),VOIE SECURISEE,1
631,VERDUN (DE 01 A 61),MOINS SECURISEE,1
632,VIC. HUGO(RUE)001A067 ET002A078,MOINS SECURISEE,1
633,VIC. HUGO(RUE)077A089 ET 090A110,MOINS SECURISEE,1
634,VIC. HUGO(RUE)091A113 ET 112A146,MOINS SECURISEE,1
635,VIC. HUGO(RUE)115A149 ET 148A178,MOINS SECURISEE,1
636,VICTOR CRESSON (AVENUE) DU 02 AU 40,AUCUN,1
637,VILLIERS(RUE DE)  54A86,VOIE SECURISEE,1
638,VLADIMIR ILLITCH LENINE (AV),AUCUN,1
639,VOIE GEORGES POMPIDOU,MOINS SECURISEE,4
640,VOIE GEORGES POMPIDOU,VOIE SECURISEE,2
641,VOLTAIRE (BOULEVARD),MOINS SECURISEE,1
