,adr,ame_d,count_accidents
108,BOULEVARD BERTHIER,VOIE SECURISEE,1
109,BOULEVARD BRUNE,AUCUN,1
110,BOULEVARD BRUNE,VOIE SECURISEE,2
111,BOULEVARD D INDOCHINE,VOIE SECURISEE,1
112,BOULEVARD DE BELLEVILLE,MOINS SECURISEE,2
113,BOULEVARD DE BELLEVILLE,VOIE SECURISEE,2
114,BOULEVARD DE BERCY,VOIE SECURISEE,1
115,BOULEVARD DE BONNE NOUVELLE,VOIE SECURISEE,3
116,BOULEVARD DE CLICHY,AUCUN,2
117,BOULEVARD DE CLICHY,VOIE SECURISEE,4
118,BOULEVARD DE COURCELLES,MOINS SECURISEE,1
119,BOULEVARD DE COURCELLES,VOIE SECURISEE,1
120,BOULEVARD DE GRENELLE,VOIE SECURISEE,2
121,BOULEVARD DE L AMIRAL BRUIX,MOINS SECURISEE,1
122,BOULEVARD DE L HOPITAL,AUCUN,4
123,BOULEVARD DE L HOPITAL,MOINS SECURISEE,3
124,BOULEVARD DE LA BASTILLE,VOIE SECURISEE,2
125,BOULEVARD DE LA CHAPELLE,AUCUN,3
126,BOULEVARD DE LA CHAPELLE,VOIE SECURISEE,1
127,BOULEVARD DE LA TOUR MAUBOURG,AUCUN,1
128,BOULEVARD DE LA TOUR MAUBOURG,MOINS SECURISEE,2
129,BOULEVARD DE LA VILLETTE,AUCUN,1
130,BOULEVARD DE LA VILLETTE,MOINS SECURISEE,1
131,BOULEVARD DE LA VILLETTE,VOIE SECURISEE,6
132,BOULEVARD DE MAGENTA,AUCUN,3
133,BOULEVARD DE MAGENTA,MOINS SECURISEE,1
134,BOULEVARD DE MAGENTA,VOIE SECURISEE,11
135,BOULEVARD DE MENILMONTANT,AUCUN,2
136,BOULEVARD DE MENILMONTANT,VOIE SECURISEE,2
137,BOULEVARD DE PORT ROYAL,MOINS SECURISEE,1
138,BOULEVARD DE ROCHECHOUART,AUCUN,1
139,BOULEVARD DE ROCHECHOUART,MOINS SECURISEE,1
140,BOULEVARD DE SEBASTOPOL,AUCUN,3
141,BOULEVARD DE SEBASTOPOL,MOINS SECURISEE,12
142,BOULEVARD DE SEBASTOPOL,VOIE SECURISEE,9
143,BOULEVARD DE STRASBOURG,MOINS SECURISEE,3
144,BOULEVARD DE STRASBOURG,VOIE SECURISEE,3
145,BOULEVARD DE VAUGIRARD,MOINS SECURISEE,1
146,BOULEVARD DES BATIGNOLLES,MOINS SECURISEE,3
147,BOULEVARD DES CAPUCINES,MOINS SECURISEE,3
148,BOULEVARD DES FILLES DU CALVAIRE,MOINS SECURISEE,1
149,BOULEVARD DES INVALIDES,AUCUN,2
150,BOULEVARD DES INVALIDES,VOIE SECURISEE,2
151,BOULEVARD DIDEROT,AUCUN,1
152,BOULEVARD DIDEROT,MOINS SECURISEE,3
153,BOULEVARD DU GENERAL JEAN SIMON,VOIE SECURISEE,1
154,BOULEVARD DU MONTPARNASSE,MOINS SECURISEE,3
155,BOULEVARD DU PALAIS,MOINS SECURISEE,2
156,BOULEVARD EXELMANS,VOIE SECURISEE,1
157,BOULEVARD GARIBALDI,MOINS SECURISEE,1
158,BOULEVARD GARIBALDI,VOIE SECURISEE,2
159,BOULEVARD HAUSSMANN,MOINS SECURISEE,6
160,BOULEVARD HAUSSMANN,VOIE SECURISEE,1
161,BOULEVARD HENRI IV,MOINS SECURISEE,4
162,BOULEVARD JOURDAN,MOINS SECURISEE,1
163,BOULEVARD JOURDAN,VOIE SECURISEE,5
164,BOULEVARD JULES FERRY,VOIE SECURISEE,2
165,BOULEVARD KELLERMANN,MOINS SECURISEE,2
166,BOULEVARD LEFEBVRE,AUCUN,1
167,BOULEVARD LEFEBVRE,VOIE SECURISEE,4
168,BOULEVARD MACDONALD,AUCUN,1
169,BOULEVARD MACDONALD,MOINS SECURISEE,1
170,BOULEVARD MACDONALD,VOIE SECURISEE,2
171,BOULEVARD MALESHERBES,MOINS SECURISEE,3
172,BOULEVARD MALESHERBES,VOIE SECURISEE,1
173,BOULEVARD MASSENA,AUCUN,2
174,BOULEVARD MASSENA,MOINS SECURISEE,1
175,BOULEVARD MASSENA,VOIE SECURISEE,2
176,BOULEVARD MONTMARTRE,AUCUN,1
177,BOULEVARD MORLAND,VOIE SECURISEE,2
178,BOULEVARD NEY,AUCUN,2
179,BOULEVARD NEY,MOINS SECURISEE,1
180,BOULEVARD NEY,VOIE SECURISEE,3
181,BOULEVARD PASTEUR,VOIE SECURISEE,2
182,BOULEVARD PEREIRE,AUCUN,2
183,BOULEVARD PEREIRE,MOINS SECURISEE,1
184,BOULEVARD POISSONNIERE,VOIE SECURISEE,1
185,BOULEVARD PONIATOWSKI,VOIE SECURISEE,4
186,BOULEVARD RASPAIL,MOINS SECURISEE,4
187,BOULEVARD RICHARD LENOIR,AUCUN,3
188,BOULEVARD RICHARD LENOIR,VOIE SECURISEE,5
189,BOULEVARD SAINT DENIS,MOINS SECURISEE,2
190,BOULEVARD SAINT GERMAIN,AUCUN,1
191,BOULEVARD SAINT GERMAIN,VOIE SECURISEE,1
192,BOULEVARD SAINT JACQUES,MOINS SECURISEE,2
