Identifiant du compteur,voie,Identifiant du site de comptage,Nom du site de comptage,Comptage horaire,date,Date d'installation du site de comptage,Lien vers photo du site de comptage,Coordonnées géographiques,id_compteur,nom_compteur,id,sum_counts,installation_date,url_photos_n1,coordinates,counter,photos,test_lien_vers_photos_du_site_de_comptage_,id_photo_1,url_sites,type_dimage,mois_annee_comptage,Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh,id_vehicule,motor,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,183.0,2019-09-24T08:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900053383,2.0,1,,0.0,1.0,1.0,1.0,Z01,138 205 671,5.0,2019,9,24,08:40,1,2,1,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8645910","2,3687980",75,4,0.0,,2.0,4.0,33,0,1.0,1.0,1.0,,,2.0,0.0,5.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,350.0,2019-09-24T08:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900053383,2.0,1,,0.0,1.0,1.0,1.0,Z01,138 205 671,5.0,2019,9,24,08:40,1,2,1,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8645910","2,3687980",75,4,0.0,,2.0,4.0,33,0,1.0,1.0,1.0,,,2.0,0.0,5.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,321.0,2019-12-06T10:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900049283,2.0,1,,1.0,0.0,3.0,13.0,A01,138 213 443,5.0,2019,12,6,10:10,1,2,4,2.0,6.0,75110,BOULEVARD DE MAGENTA,,"48,8765210","2,3558590",75,4,2.0,,2.0,4.0,85,0,1.0,2.0,1.0,,,2.0,0.0,5.0,,20.0
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,57.0,2019-07-05T10:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900010835,2.0,1,,0.0,1.0,1.0,7.0,A01,138 286 345,5.0,2019,7,5,10:55,1,2,7,1.0,6.0,75106,BOULEVARD SAINT GERMAIN,,"48,8524780","2,3387390",75,4,0.0,,1.0,3.0,0,0,3.0,1.0,1.0,,,1.0,0.0,6.0,,50.0
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,206.0,2019-09-17T19:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900006021,2.0,1,,0.0,2.0,0.0,13.0,B01,138 295 218,5.0,2019,9,17,19:00,1,2,1,1.0,3.0,75106,BOULEVARD SAINT GERMAIN,,"48,8520937","2,3393228",75,4,0.0,,1.0,4.0,0,0,3.0,1.0,1.0,,,1.0,0.0,6.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,163.0,2019-02-23T19:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900047739,2.0,1,,0.0,1.0,0.0,1.0,A01,138 216 276,5.0,2019,2,23,19:05,5,2,3,1.0,6.0,75110,BOULEVARD DE MAGENTA,,"48,8757790","2,3565200",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,6.0,1.0,,50.0
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,35.0,2019-11-04T10:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900046168,1.0,1,,0.0,0.0,7.0,21.0,A01,138 219 236,5.0,2019,11,4,10:00,1,2,2,1.0,7.0,75106,BOULEVARD SAINT GERMAIN,,"48,8527125","2,3377536",75,4,0.0,,1.0,4.0,0,0,3.0,1.0,1.0,,,1.0,0.0,6.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,198.0,2019-06-24T19:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900033441,1.0,1,,0.0,1.0,1.0,1.0,A01,138 243 357,5.0,2019,6,24,19:30,1,2,1,1.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8642280","2,3693370",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,30.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,401.0,2019-06-24T19:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900033441,1.0,1,,0.0,1.0,1.0,1.0,A01,138 243 357,5.0,2019,6,24,19:30,1,2,1,1.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8642280","2,3693370",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,30.0
100047547-103047547,ruejuliabartet,100047547.0,6 rue Julia Bartet,33.0,2019-05-27T16:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047547/15433319774680.jpg,"48.82648,2.303149",,,,,,,,,,,,,,,201900038335,1.0,1,,0.0,2.0,1.0,1.0,A01,138 234 017,5.0,2019,5,27,16:25,1,2,2,1.0,3.0,75114,RUE JULIA BARTET,,"48,8254570","2,3023100",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100047547-104047547,ruejuliabartet,100047547.0,6 rue Julia Bartet,67.0,2019-05-27T16:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047547/15433319774680.jpg,"48.82648,2.303149",,,,,,,,,,,,,,,201900038335,1.0,1,,0.0,2.0,1.0,1.0,A01,138 234 017,5.0,2019,5,27,16:25,1,2,2,1.0,3.0,75114,RUE JULIA BARTET,,"48,8254570","2,3023100",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,6.0,2019-07-05T02:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900010857,1.0,1,,0.0,2.0,1.0,1.0,B01,138 286 305,5.0,2019,7,5,02:00,4,2,1,1.0,1.0,75116,VOIE GEORGES POMPIDOU,,"48,8514770","2,2798320",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,20.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,3.0,2019-07-05T02:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900010857,1.0,1,,0.0,2.0,1.0,1.0,B01,138 286 305,5.0,2019,7,5,02:00,4,2,1,1.0,1.0,75116,VOIE GEORGES POMPIDOU,,"48,8514770","2,2798320",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,20.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,232.0,2019-04-30T08:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900040097,2.0,1,,1.0,0.0,8.0,17.0,A01,138 230 724,5.0,2019,4,30,08:35,1,2,1,1.0,6.0,75110,BOULEVARD DE MAGENTA,,"48,8781170","2,3544220",75,4,0.0,,2.0,6.0,0,0,3.0,2.0,1.0,,,1.0,0.0,5.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,139.0,2019-07-06T14:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900010874,1.0,1,,0.0,2.0,8.0,19.0,B01,138 286 273,5.0,2019,7,6,14:50,1,2,5,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8785250","2,3540400",75,4,0.0,,2.0,4.0,1,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100006300-SC,avenuedaumesnil,100006300.0,135 Avenue Daumesnil SE-NO,70.0,2019-01-16T13:00:00+00:00,2013-01-19,https://www.eco-visio.net/Photos/100006300/15765762690330.jpg,"48.843435,2.383378",,,,,,,,,,,,,,,201900015442,1.0,1,,0.0,2.0,1.0,1.0,B01,138 277 611,5.0,2019,1,16,13:20,1,2,1,1.0,3.0,75112,AVENUE DAUMESNIL,,"48,8425960","2,3850760",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,9.0,1.0,,50.0
100006300-SC,avenuedaumesnil,100006300.0,135 Avenue Daumesnil SE-NO,49.0,2019-04-04T15:00:00+00:00,2013-01-19,https://www.eco-visio.net/Photos/100006300/15765762690330.jpg,"48.843435,2.383378",,,,,,,,,,,,,,,201900041335,2.0,1,,0.0,1.0,0.0,25.0,Z01,138 228 470,5.0,2019,4,4,15:20,1,2,2,1.0,6.0,75112,AVENUE DAUMESNIL,,"48,8371840","2,4021230",75,4,0.0,,2.0,0.0,0,0,0.0,2.0,1.0,,,1.0,0.0,4.0,,50.0
100047539-SC,boulevardaugusteblanqui,100047539.0,21 Boulevard Auguste Blanqui SO-NE,29.0,2019-07-10T07:00:00+00:00,2018-12-05,https://www.eco-visio.net/Photos/100047539/15765761696560.jpg,"48.830449,2.353199",,,,,,,,,,,,,,,201900057151,1.0,1,,0.0,2.0,0.0,1.0,B01,138 198 698,5.0,2019,7,10,07:30,1,2,2,1.0,3.0,75113,BOULEVARD AUGUSTE BLANQUI,,"48,8306490","2,3526430",75,4,0.0,,1.0,2.0,0,0,1.0,2.0,1.0,,,1.0,0.0,5.0,,50.0
